[0:00:05] むとちゃん: わこら
[0:39:54] syuguru0913: 帰れない♪
[0:39:54] dante56565: お前そもそもイージーに参加してないだろ
[0:39:55] いこまき: 不正
[0:39:57] akikangg: いやそれイージーモード
[0:39:57] ひろりーぬ: お前イージーじゃないだろ
[0:39:58] arukuHOMOGODzilla810: こうやって成長して旅立っていくんやな
[0:39:58] tositosi1011: 草
[0:40:00] yozakusa: イージーモードじゃないよ
[0:40:01] あるたー: 不正
[0:40:04] amuru007: お前イージーじゃないだろ
[0:40:08] nikkorikun: てんのすけがクリアしたし終わるかおっつぅ
[0:40:10] 空き缶222: イージーじゃねぇだろ
[0:40:14] ピサロナイト: 当たり前だのクラッカー
[0:40:16] 0_Shiina: らだしんでないけどね
[0:40:17] tositosi1011: お前はハッード
[0:40:26] 空き缶222: 歪
[0:40:42] rYou1206: アスレ放送か
[0:40:44] yjusn114514: アスレ放送
[0:40:51] banaaaaaaaaaaaaaaaa: アスレ放送かよ
[0:40:51] あろすて: お前死んだっけ？
[0:40:52] akikangg: らっだぁアスレ上手くなったの？
[0:40:58] tositosi1011: あスレ放送か
[0:40:59] yozakusa: アスレお上手ですねw
[0:41:00] yjusn114514: ここから本番
[0:41:11] ととのん: 考えとく
[0:41:12] まっちゃくんん: お
[0:41:14] ryuua1013: ここでもアスレ放送するの？
[0:41:18] でどすた: 金ねぇんだよ
[0:41:20] しばたろ: こんばんはー
[0:41:24] asaoka2016: いらねぇ
[0:41:24] ilovecarpcarp: いやだ
[0:41:24] Aqution: メリットないじゃん
[0:41:27] tositosi1011: 要らんもの増やしたくない
[0:41:29] suica79: ダイレクト
[0:41:31] 0_Shiina: いらん
[0:41:31] muru1113: こん
[0:41:31] Yuu6210_blue: メリットないやん
[0:41:34] Yuu6210_blue: こん
[0:41:35] dante56565: メリットがないからやらん
[0:41:36] yozakusa: こん
[0:41:36] strobehello: 今度はどんな顔のスタンプにするの
[0:41:38] nikkorikun: 壺
[0:41:40] akikangg: お前のためにお金使わないから
[0:41:40] 梨一: こん
[0:41:41] あるたー: radernokaoMeshinderu <デメリット
[0:41:43] ryuua1013: あげたらなんかあんの
[0:41:43] banaaaaaaaaaaaaaaaa: お前のスタンプ買うならほかのかうわ
[0:41:48] yozakusa: 草
[0:41:48] nikkorikun: 草
[0:41:53] 空き缶222: 草
[0:41:53] dante56565: いらない
[0:41:53] amakki: 1年のバッジ変えたらサブ垢で入るわ
[0:41:54] 0_Shiina: は？
[0:41:54] obanatti: 草
[0:41:54] ilovecarpcarp: 草
[0:41:55] suica79: ？
[0:41:56] asaoka2016: デメリットしかねぇ
[0:41:57] teto_gbf: かわいい？
[0:41:57] 55ship: かわいい...？
[0:41:58] muru1113: 誰か撒き散らせやって
[0:41:59] ペりー: かわいいとは
[0:42:05] dante56565: 広告は割とでかいときもある
[0:42:07] takoyaki_0911: バッジをスタンプにしろ
[0:42:08] totasu9: てんのすけのスタンプ作るなら考えてやるよ
[0:42:11] 0_Shiina: それ1番デメリット
[0:42:12] ととのん: 一番最後のいらなくね？
[0:42:13] strobehello: 最後のでやめた
[0:42:14] ariesusan: てかさりげクリアしてんだね
[0:42:15] yozakusa: 最後ので止めた
[0:42:16] akikangg: 草
[0:42:16] nikkorikun: あ
[0:42:16] yjusn114514: 最後のいらないから買わないわ
[0:42:16] まっちゃくんん: おい
[0:42:17] dante56565: あ
[0:42:18] meruizu: あ
[0:42:21] kizi_c: それよりツイッチ不具合で声がロボる…
[0:42:21] kensho_nogi: 最後の特典は消すべき
[0:42:21] でどすた: ついっちの広告出たことないんやけど俺だけ？
[0:42:21] ume1001: それいらん
[0:42:21] muru1113: 草
[0:42:24] banaaaaaaaaaaaaaaaa: 緑くそスタンプは？
[0:42:25] ilovecarpcarp: ツイッチの広告みたことないからなぁ
[0:42:25] tositosi1011: お前だけメリット
[0:42:26] Day_Blake: ばんわ
[0:42:26] nikkorikun: 草
[0:42:26] 空き缶222: 草
[0:42:28] yozakusa: 草
[0:42:28] 梨一: 草
[0:42:29] meruizu: 草
[0:42:29] わ29: 最後のきいたから買うのやめるわ
[0:42:30] akikangg: やったね
[0:42:32] i_n_a_k: 草
[0:42:33] 0_Shiina: 草
[0:42:33] totasu9: 草
[0:42:33] waiwai705: 草
[0:42:34] asaoka2016: 草
[0:42:35] ilovecarpcarp: 草
[0:42:37] Day_Blake: 草
[0:42:39] yotuba0428: 草
[0:42:52] 梨一: 時間ないやん
[0:42:54] asaoka2016: らっだぁの口癖ってほんまにもあるよな
[0:42:55] Yuu6210_blue: 喜ばないならやんねーわ
[0:42:57] わ29: 買わないよ
[0:42:57] teto_gbf: よろこべよ
[0:42:58] KurwaLegProduction: Только русские поймут этот текст Kappa
[0:42:58] kensho_nogi: よろこべよ
[0:43:01] tositosi1011: じゃあ買うい見ないな
[0:43:09] あるたー: 正直新しいスタンプがどんなのかみたいからサブスクしてほしい
[0:43:09] ととのん: ク リ ア 者 ０ 人
[0:43:11] 梨一: あ
[0:43:11] akikangg: 喜ばないんなら買わないよ
[0:43:11] 空き缶222: あ
[0:43:12] suica79: あ
[0:43:13] nikkorikun: ；；
[0:43:14] Day_Blake: あ
[0:43:14] nekotori222: あ
[0:43:14] 0_Shiina: あ
[0:43:15] yozakusa: 嬉しくないなら意味無い
[0:43:15] haduki_09: あ
[0:43:15] mugnum0109new: あ
[0:43:15] teto_gbf: ；；
[0:43:15] totasu9: あ
[0:43:17] yozakusa: お
[0:43:18] orange3kp: あ
[0:43:19] yotuba0428: あ
[0:43:19] muru1113: あ
[0:43:19] アスかル: ::
[0:43:20] でどすた: あ
[0:43:20] dante56565: ；；
[0:43:21] yozakusa: あ
[0:43:21] banaaaaaaaaaaaaaaaa: だるおー！
[0:43:21] akikangg: だるおし
[0:43:22] yjusn114514: ; ;
[0:43:22] スパルタン: ＃７９のらっだぁさん！？
[0:43:22] asaoka2016: あ
[0:43:26] ポフロン: ；；
[0:43:26] Day_Blake: おc
[0:43:27] ilovecarpcarp: おc
[0:43:29] asaoka2016: だるちゃーーん
[0:43:31] obanatti: ワールド保存して
[0:43:31] アスかル: ;;
[0:43:37] 0_Shiina: 違うなぁー
[0:43:37] yozakusa: こらだるお
[0:43:38] H4ndAAA: ワールド保存して
[0:43:39] まっちゃくんん: あ
[0:43:39] nikkorikun: こらだるお
[0:43:40] takoyaki_0911: だるおに呪われるぞ
[0:43:42] mugnum0109new: え
[0:43:43] dante56565: あ
[0:43:43] amuru007: 語呂悪い
[0:43:43] akikangg: こらこばこだ
[0:43:43] banaaaaaaaaaaaaaaaa: こらこばこだ
[0:43:43] totasu9: 語感が違う
[0:43:43] でどすた: クソにわか4ね
[0:43:44] ilovecarpcarp: え？
[0:43:48] まどちゃん: わこらだあ
[0:43:51] Liar_0219: かわいそう...
[0:43:52] tositosi1011: こばこだの台詞だこら
[0:43:53] あろすて: コバコダの方が言いやすい
[0:43:54] yozakusa: 炎上？
[0:43:56] mugnum0109new: 炎☆上
[0:43:57] dante56565: ワールド保存しても意味ないやーん
[0:44:02] yjusn114514: 炎上
[0:44:03] 0_Shiina: 炎上
[0:44:06] teto_gbf: はい炎上
[0:44:07] milddaynodoka: CurseLit
[0:44:13] takoyaki_0911: お？炎上かい？
[0:44:14] nekotori222: はい CurseLit
[0:44:17] H4ndAAA: 保存して
[0:44:20] 0_Shiina: ハードモードのワールド保存して
[0:44:22] ryuua1013: CurseLit BloodTrail
[0:44:23] まっちゃくんん: おい
[0:44:23] Niko0229: ハードモードのワールド保存して〜
[0:44:25] akikangg: それな
[0:44:25] Yuu6210_blue: クソにわか４ね
[0:44:31] 0_Shiina: お前が悪い
[0:44:32] totasu9: にわか4ね
[0:44:33] Day_Blake: 草
[0:44:34] でどすた: クソにわか4ね
[0:44:36] yozakusa: 草
[0:44:36] nikkorikun: 草
[0:44:37] banaaaaaaaaaaaaaaaa: たしかに
[0:44:37] nekotori222: ちゅ
[0:44:37] poteito: 許した
[0:44:38] akikangg: らっだぁお前のせいやぞ
[0:44:39] tositosi1011: 炎上確定
[0:44:40] 梨一: 親善大使
[0:44:40] yjusn114514: これはらっだぁが悪い
[0:44:40] yotuba0428: 草
[0:44:40] banaaaaaaaaaaaaaaaa: お前がわるい
[0:44:42] アスかル: 炎上1丁れ
[0:44:44] アスかル: ！
[0:44:45] yuufe5501: ハードモードのワールド保存して
[0:44:46] H4ndAAA: 保存しろ保存しろ保存しろ保存しろ保存しろ保存しろ保存しろ保存しろ
[0:44:50] reollly: ワールド保存
[0:44:50] obanatti: ワールド保存は？
[0:44:51] yozakusa: 緑くんのちゅー欲しい
[0:44:51] amuru007: ハードモード(意味深)のワールド保存して
[0:44:53] sakasameb: ワールド保存して
[0:44:53] yotuba0428: ハードモードのワールド保存して
[0:44:54] meruizu: ハードモードのワールド保存して
[0:44:57] sugto: 保存
[0:44:58] スパルタン: 保存保存保存保存保存保存保存保存保存保存保存保存保存保存保存保存保存
[0:44:58] 0_Shiina: ハードモードのワールド保存して
[0:44:59] 梨一: ワールド保存
[0:45:00] takoyaki_0911: ワールド破損して
[0:45:01] akikangg: クソにわか4ね
[0:45:05] mugnum0109new: クソにわか4ね（合言葉）
[0:45:10] akikangg: クソにわか4ねだぞ
[0:45:11] yozakusa: ワード保存して
[0:45:11] まっちゃくんん: お
[0:45:12] いこまき: あ
[0:45:12] frnspn101: 保存してハードモードのワールド
[0:45:14] dante56565: あ
[0:45:14] nikkorikun: お
[0:45:14] yozakusa: かわあい
[0:45:16] わ29: ﾋﾟｺﾝ
[0:45:16] orange3kp: お
[0:45:17] meruizu: かわいい
[0:45:17] Yuu6210_blue: かわいい
[0:45:18] 0_Shiina: かわいい
[0:45:18] でどすた: あ
[0:45:19] haduki_09: かわいい
[0:45:19] 梨一: ぴこん
[0:45:19] mugnum0109new: かわE
[0:45:19] まっちゃくんん: かわいいいいいい
[0:45:20] yjusn114514: 可愛い
[0:45:20] ilovecarpcarp: あ
[0:45:21] suica79: あら
[0:45:21] tarutarusouce: わこつー
[0:45:21] いこまき: かわいい
[0:45:23] スパルタン: かわE
[0:45:24] 空き缶222: 하드 모드 월드 저장 ハードモードのワールド保存して
[0:45:25] ariesusan: かわえ
[0:45:26] ilovecarpcarp: かわいいいい
[0:45:26] akikangg: これはかわいい
[0:45:27] 55ship: かわいいいい
[0:45:30] tositosi1011: 破損破損破損破損
[0:45:33] kensho_nogi: もっとよろこべよ
[0:45:33] あるたー: スタンプ増えるやんやったね
[0:45:43] nekotori222: いいぇーーーーーーーーーい
[0:45:51] akikangg: はよ喜べよ
[0:45:54] いこまき: これでスタンプ増やせるな
[0:46:08] dante56565: やったねらだお スタンプ増えるよ！
[0:46:11] nikkorikun: 考えとけよ
[0:46:12] totasu9: みどりくんのスタンプ
[0:46:13] 0_Shiina: お前の写真はいはん
[0:46:14] asaoka2016: 可愛いのにしろ
[0:46:17] mugnum0109new: あれ？
[0:46:19] でどすた: 外に繰り出して自撮り撮れ
[0:46:20] 梨一: あ
[0:46:20] yozakusa: あれ？
[0:46:20] ilovecarpcarp: あら
[0:46:21] banaaaaaaaaaaaaaaaa: もちろん無料スタンプだよね？
[0:46:21] ととのん: 草
[0:46:22] pfp_00: 草
[0:46:22] meruizu: あれ？
[0:46:24] スパルタン: またあまさとさんにお願いしたら(´･ω･｀)
[0:46:24] totasu9: あ
[0:46:24] takoyaki_0911: バッジをスタンプにしてよ
[0:46:24] teto_gbf: 炎上
[0:46:25] aiueoooooonn: あれ？
[0:46:25] 空き缶222: あ、
[0:46:25] いこまき: あ
[0:46:26] サイベリアン: あ
[0:46:26] nekotori222: 草
[0:46:26] muru1113: あ
[0:46:27] yozakusa: 草
[0:46:27] yotuba0428: これは炎上
[0:46:28] orange3kp: 草
[0:46:28] frnspn101: あ
[0:46:28] 0_Shiina: 草
[0:46:29] あるたー: あ
[0:46:29] meruizu: 草
[0:46:31] asaoka2016: あ
[0:46:31] ariesusan: あ
[0:46:32] まどちゃん: これは草
[0:46:33] Day_Blake: 草
[0:46:35] nikkorikun: 草
[0:46:35] totasu9: 草
[0:46:37] ポフロン: 草
[0:46:38] haduki_09: 草
[0:46:38] こマつ: くさ
[0:46:38] 空き缶222: 草
[0:46:39] i_n_a_k: 草
[0:46:39] yotuba0428: 草
[0:46:39] takoyaki_0911: 炎上かな
[0:46:40] aiueoooooonn: 草
[0:46:40] 梨一: 草
[0:46:40] いこまき: 草
[0:46:40] frnspn101: 草
[0:46:41] ilovecarpcarp: 草
[0:46:41] ペりー: 草
[0:46:42] noroshi136: 草
[0:46:43] mugnum0109new: 宛城確定
[0:46:44] スパルタン: バレバレで草
[0:46:44] 0_Shiina: 炎上
[0:46:44] tositosi1011: これは炎上
[0:46:45] Yuu6210_blue: 草
[0:46:45] 55ship: 草
[0:46:45] pfp_00: これは炎上
[0:46:48] tarutarusouce: 草
[0:46:48] kizi_c: ヤケクソで草
[0:46:50] akikangg: ディグダリオン教？にしたら
[0:46:50] yozakusa: 炎確
[0:46:51] sugto: 炎上
[0:46:53] 55ship: いつものパターン
[0:46:54] nekotori222: これは草
[0:46:56] takoyaki_0911: らっだぁ冤罪やな
[0:47:16] banaaaaaaaaaaaaaaaa: なかった
[0:47:16] morixmori_tmt: 特になかった。アスレむずい
[0:47:19] yozakusa: イージーモードのアスレムズイ
[0:47:21] 華礫: アスレに時間がかかります
[0:47:25] 華礫: JKなので
[0:47:26] asaoka2016: 変なとこらっだぁって聞こえた
[0:47:30] akikangg: ブチブチのネバネバのモッチモッチにして砂糖醤油につけたら美味しいよ
[0:47:33] ドラ男: 特に無かったけど気持ち重かったかも、取り損ねてひやひやした
[0:47:36] tyomo_0129: 重かった
[0:47:36] dante56565: もう復活の手前にハシゴだけにしない？
[0:47:37] totasu9: アスレ酷評で草
[0:47:50] まっちゃくんん: ベリーイージー作ろう？
[0:47:51] yozakusa: イージーモード部屋作ったら？
[0:47:52] 0_Shiina: もうフラット
[0:47:56] yjusn114514: ふと思ったんだが鍵と感圧版って渡すことできるの？
[0:47:57] morahara_: 簡単だろ！（フラグ
[0:47:59] nikkorikun: ピースフルモード作ろう
[0:48:06] banaaaaaaaaaaaaaaaa: 風呂入ってるくるわ
[0:48:08] tositosi1011: ぐあああああああああああああああああ
[0:48:11] mugnum0109new: 難易度ホワイトイージー作ろ
[0:48:15] muru1113: ふろいてら
[0:48:21] mugnum0109new: いってら
[0:48:21] asaoka2016: イージーのアスレに逆Tつけたらどうなるん？
[0:48:23] yozakusa: いてら
[0:48:24] Yuu6210_blue: 風呂いてら
[0:48:26] midorokun: Q.ふと思ったんだが鍵と感圧版って渡すことできるの？ A.できません
[0:48:27] ilovecarpcarp: いてら
[0:48:27] tositosi1011: あ あああ(￣▽￣;)チーン
[0:48:29] ariesusan: いてら
[0:48:34] Day_Blake: いてる
[0:48:36] tositosi1011: すやぁ
[0:48:39] アスかル: らだお先輩箱は？
[0:48:50] yjusn114514: できないんだ、、、ありがとナス！
[0:48:54] amuru007: 一マスジャンプと2マスジャンプだけでいいよ
[0:49:05] yozakusa: パコは？
[0:49:09] dante56565: そもそも渡すことによるメリットは一体
[0:49:11] 55ship: 範囲攻撃できるね
[0:49:17] akikangg: 皆コメントしなかったららっだぁ4んじゃう？
[0:49:21] いこまき: 重くはなかったぞ
[0:49:32] tyomo_0129: ごめん、低スペ
[0:49:38] pfp_00: 大丈夫だった
[0:49:53] ドラ男: 僕のＰＣがクソなだけだ！ｗ
[0:49:53] KBnjgn: 鬼重かったんだが
[0:50:00] tositosi1011: 皆3分はコメントなししようぜ
[0:50:13] pfp_00: すごい
[0:50:14] スパルタン: おおおおお
[0:50:17] haduki_09: しゅごい
[0:50:19] わ29: ｓｙげ
[0:50:19] piitan46: おー
[0:50:19] obanatti: すごー！！
[0:50:20] 梨一: おおおおお
[0:50:20] ilovecarpcarp: すげ
[0:50:20] aiueoooooonn: おおお
[0:50:21] Yuu6210_blue: すごい
[0:50:22] mugnum0109new: すごい
[0:50:22] kizi_c: TP位置
[0:50:24] hiku0523: 素でhutuuだと思ってるの草
[0:50:24] noroshi136: すご
[0:50:25] yjusn114514: すごい
[0:50:26] nikkorikun: あ
[0:50:27] dante56565: あとは全部ちゃんと起動するかだなぁ
[0:50:28] ポフロン: すごい
[0:50:28] pfp_00: あ
[0:50:28] yozakusa: あ
[0:50:29] まっちゃくんん: あ
[0:50:31] ariesusan: あ
[0:50:31] totasu9: あ
[0:50:32] ポフロン: あ
[0:50:32] nekotori222: あ
[0:50:32] mugnum0109new: あ
[0:50:32] orange3kp: あ
[0:50:32] piitan46: あ
[0:50:33] こっぽそ: 今北🦊<こん
[0:50:34] narunaru555: ぃと
[0:50:34] meruizu: あ
[0:50:34] ilovecarpcarp: あ
[0:50:34] あるたー: あ
[0:50:35] 0_Shiina: あ
[0:50:35] asaoka2016: あ
[0:50:35] まみゃ: ラビリンスのLやろ
[0:50:36] わ29: 初めて緑色を尊敬した
[0:50:36] KBnjgn: あ
[0:50:36] スパルタン: あ
[0:50:37] aiueoooooonn: あ
[0:50:38] KBnjgn: くさ
[0:50:38] momoka728: こん
[0:50:38] yjusn114514: 可愛い
[0:50:39] わ29: が４ね
[0:50:40] いこまき: あ
[0:50:40] i_n_a_k: あ
[0:50:41] tarutarusouce: あ
[0:50:42] asaoka2016: かわE
[0:50:44] momoka728: わざとやろ
[0:50:44] Yuu6210_blue: かわいい
[0:50:45] 梨一: ｌと
[0:50:50] amuru007: 煽ると
[0:50:52] tositosi1011: かわe
[0:50:52] nekotori222: 草
[0:50:52] dante56565: 青箱も英語でmだろ
[0:50:52] Aqution: line?
[0:51:03] pfp_00: 草
[0:51:03] nikkorikun: 草
[0:51:04] akikangg: 無能らだ
[0:51:06] meruizu: 草
[0:51:06] yozakusa: 草
[0:51:06] まっちゃくんん: 激おこ
[0:51:08] yotuba0428: 草
[0:51:10] Yuu6210_blue: 草
[0:51:11] Lemonade0622: こy
[0:51:13] 0_Shiina: 草
[0:51:13] nikkorikun: ごみ
[0:51:14] わ29: 会見開け
[0:51:15] i_n_a_k: にわからだ
[0:51:17] asaoka2016: 心込めろや
[0:51:17] ひろりーぬ: ごみ
[0:51:17] frnspn101: ごみ
[0:51:18] haduki_09: ごみ
[0:51:19] obanatti: gm
[0:51:19] tositosi1011: kixtuku
[0:51:19] mugnum0109new: 5円？
[0:51:20] まっちゃくんん: ｇｍ
[0:51:21] akikangg: 炎上しろ
[0:51:21] yotuba0428: ごみ
[0:51:21] いこまき: ソリ
[0:51:25] muru1113: ごみ
[0:51:27] kizi_c: そりー＾＾
[0:51:27] meruizu: ごみ
[0:51:28] tositosi1011: キック
[0:51:29] totasu9: gmってゴミミドリクソの略ですか？？？
[0:51:34] dante56565: プラグイン作成者をゴミ扱いする生主の放送はここですか？
[0:51:35] tositosi1011: いと
[0:51:38] kizi_c: 超会議
[0:51:39] まっちゃくんん: ほう
[0:51:44] ariesusan: まあ便利
[0:51:53] nikkorikun: おい
[0:51:54] obanatti: 便利すぎ
[0:51:55] yozakusa: おい
[0:51:55] killua_zaoldyeek: 箱ってルール何？
[0:51:58] asaoka2016: おい
[0:52:01] yjusn114514: おい
[0:52:02] kizi_c: まって
[0:52:10] yjusn114514: 草
[0:52:13] asaoka2016: らっだぁ自由すぎ
[0:52:18] 0_Shiina: 草
[0:52:22] akikangg: 自分は入んないからいいんだけどさー
[0:52:23] totasu9: 草
[0:52:24] yozakusa: 保険
[0:52:29] mugnum0109new: @killua_zaoldyeek 青鬼ごっこにミッション要素が追加されたやつ
[0:52:30] i_n_a_k: 草
[0:52:31] わ29: javaに以上はったんだろ
[0:52:32] 0_Shiina: みんな変態
[0:52:33] まっちゃくんん: タイでｔんｔんちょん切ってもらうぞ
[0:52:36] kuromagu2580: 今北コン
[0:52:39] yozakusa: みんなhな気持ち
[0:52:40] mugnum0109new: こん
[0:52:41] shibakapi: 今来ました！
[0:52:41] tositosi1011: あ
[0:52:42] obanatti: 草
[0:52:43] 55ship: おい
[0:52:43] nikkorikun: BAN
[0:52:44] わ29: えっちいなぁ
[0:52:45] ariesusan: おい
[0:52:46] KBnjgn: 皆エロくなった
[0:52:46] sakasameb: ひろし？
[0:52:48] まっちゃくんん: 脳内メーカーかな
[0:52:48] ととのん: 皆H?
[0:52:50] kuromagu2580: おい
[0:52:55] dante56565: そりゃこのあとパコするからよ
[0:52:55] mugnum0109new: おおおおおおお
[0:52:56] 轆轤首: TPしたら床に埋まったんだが
[0:52:57] orange3kp: おお
[0:52:58] ariesusan: おお
[0:52:58] akikangg: 何回Hしとんねん
[0:52:58] yozakusa: おおお
[0:52:58] ilovecarpcarp: おお
[0:52:58] momoka728: みんなhなんやろなw
[0:52:59] totasu9: dt卒業放送
[0:53:00] ととのん: いいね
[0:53:01] yjusn114514: 皆Hは草
[0:53:02] Yuu6210_blue: すごい
[0:53:03] 0_Shiina: しゅごい
[0:53:03] tarutarusouce: 脳内メーカー懐かしすぎる
[0:53:04] dondon3021: なんからっだぁの声だけ二重に聞こえるんだけど、これひとりだけ？
[0:53:05] でどすた: O交パーティ
[0:53:06] KOKUBANE: 乱○パーティ
[0:53:08] asaoka2016: すごーE
[0:53:10] kanae001: すっごぉ
[0:53:15] ゆもすやん: わこらだ
[0:53:21] tositosi1011: hhhhhhhhhhhh
[0:53:22] kizi_c: Hな人が集まるサーバー
[0:53:27] killua_zaoldyeek: @mugnum0109new 説明ありがとうござます
[0:53:29] KBnjgn: お前さーいかげんにせいやお前の冷蔵庫整頓するぞ
[0:53:33] masiro__: わこらだ！！！！
[0:53:34] asaoka2016: Hってなんなん？
[0:53:42] わ29: ⑨さん？！？！
[0:53:43] yozakusa: 脳内メーカー金と秘
[0:53:47] 0_Shiina: Hサーバー
[0:53:48] ととのん: 鬼固定じゃねこれ
[0:53:56] 0_Shiina: にわか
[0:54:02] dante56565: 青箱のHじゃね
[0:54:03] mugnum0109new: 超高校級の幸運っしょ
[0:54:03] Lemonade0622: (●変ω態●)ﾉｼ♬.*ﾟママリスに怒られる
[0:54:04] muru1113: ひろし？
[0:54:05] こっぽそ: ひろし
[0:54:06] waiwai705: 一人だけHついてないね
[0:54:07] floatingrass: ひろし
[0:54:08] kanae001: 豪運
[0:54:08] わ29: あまっきさんだけ外れてるぞ
[0:54:11] kirizaki007: 変態かな
[0:54:11] akikangg: 真面目に答えんなや
[0:54:12] texia4771: ひろし
[0:54:13] まっちゃくんん: タイ行きなんでね
[0:54:13] ペりー: Hiroshiかと思った
[0:54:14] あるたー: みんな発情期なんでしょ
[0:54:15] yjusn114514: 子供ってどうやったらできるの？
[0:54:15] ととのん: パコのイージーはないんか
[0:54:17] Shimon394: あまっきさんだけHついてないね
[0:54:29] 0_Shiina: あまっきさんだけ純粋
[0:54:29] mugnum0109new: あまっきさんは正常だから
[0:54:37] KBnjgn: いっぱいたまってるってことじゃね
[0:54:40] nikkorikun: もう卒業した…？
[0:54:42] akikangg: HOTER？かと
[0:54:46] kuromagu2580: まえイージーにしたから？
[0:54:47] まっちゃくんん: おい
[0:54:48] mugnum0109new: あ
[0:54:49] kizi_c: DT
[0:54:49] yozakusa: あまっちさんはHじゃない
[0:54:50] shibakapi: おい
[0:54:51] muru1113: あ
[0:54:51] asaoka2016: 童貞
[0:54:52] ariesusan: おい
[0:54:52] ドラ男: 主人公感ある
[0:54:53] ilovecarpcarp: あ
[0:54:53] totasu9: あ
[0:54:53] 0_Shiina: それお前
[0:54:53] i_n_a_k: おい
[0:54:54] frnspn101: あ
[0:54:54] orange3kp: おい
[0:54:54] haduki_09: おい
[0:54:54] akikangg: おまいう
[0:54:54] arukuHOMOGODzilla810: あまっきさんは純粋やからな
[0:54:55] yjusn114514: あ
[0:54:55] nekotori222: はっ！
[0:54:56] KBnjgn: しょじょやろ
[0:54:56] 空き缶222: あ
[0:54:56] yozakusa: 童貞早漏
[0:55:01] tositosi1011: 純粋なだけ
[0:55:01] momoka728: きm
[0:55:04] nikkorikun: 草
[0:55:06] 梨一: 草
[0:55:06] mugnum0109new: 草
[0:55:08] でどすた: クソッ！なぜ催淫ガスが効かない!?
[0:55:08] orange3kp: 草
[0:55:09] meruizu: 草
[0:55:09] KBnjgn: 幽霊さん？
[0:55:10] i_n_a_k: 草
[0:55:11] nekotori222: 草
[0:55:11] 空き缶222: 草
[0:55:12] yotuba0428: いろいろバグってて草
[0:55:13] totasu9: ちょっと沈んでない？
[0:55:14] yozakusa: 草
[0:55:16] 0_Shiina: ヘンッティ
[0:55:18] takoyaki_0911: ??w
[0:55:20] akikangg: 下半身出てる
[0:55:22] ilovecarpcarp: なんかかわいい
[0:55:28] yozakusa: 変態だ
[0:55:32] takoyaki_0911: 選ばれし者
[0:55:36] shibakapi: 止まったんやけど
[0:55:39] yozakusa: かわいい
[0:55:41] まっちゃくんん: かわいい
[0:55:41] mugnum0109new: なんか高1のコミュ英の教科書付属DVDのL3のロボットみたい（わかったらネ申）
[0:55:41] akikangg: 止まった
[0:55:42] momoka728: ピコン
[0:55:42] meruizu: かわいい
[0:55:43] 0_Shiina: ピコン
[0:55:43] asaoka2016: かわいあ
[0:55:44] frnspn101: ぴこん
[0:55:48] くさはら: かわいい
[0:55:52] KBnjgn: 武藤敬司さん？
[0:55:55] akikangg: 止まったのわいだけ？
[0:56:07] asaoka2016: らっだぁ実写動画出してー
[0:56:09] ゆもすやん: for言ってなかったけ
[0:56:11] nikkorikun: @mugnum0109new 学校特定しました
[0:56:14] kuromagu2580: おい
[0:56:16] saiki_a: 更新して
[0:56:17] akikangg: 最低
[0:56:18] tositosi1011: ごみ
[0:56:20] yozakusa: おい窃盗
[0:56:20] わ29: きみだけ
[0:56:23] asaoka2016: さすリス
[0:56:24] yjusn114514: たのしそー！
[0:56:26] まっちゃくんん: ？！
[0:56:29] mugnum0109new: @nikkorikun さすがに草
[0:56:37] momoka728: なにそれ？
[0:56:37] akikangg: ？
[0:56:37] ゆもすやん: ホストしてるんや
[0:56:41] 0_Shiina: ？
[0:56:41] ilovecarpcarp: ？
[0:56:45] nikkorikun: 投げ銭？
[0:56:45] yozakusa: ？
[0:56:45] KBnjgn: どうていさん？
[0:56:56] akikangg: ホストの夢？
[0:56:58] paya_ika: ipアドレスはどこ見ればわかりますか(´･ωゞ)
[0:57:08] ととのん: 会員限定やぞ
[0:57:10] わ29: チャンネル掲示板
[0:57:12] dondon3021: らっだぁの声たまに二重に聞こえるんだけどこれTwitchがわるいの？
[0:57:14] ゆもすやん: その人のチャンネルでもらっだぁのが流れてるとかそんな感じ
[0:57:14] totasu9: アドレスは会員限定です
[0:57:16] mugnum0109new: わかる
[0:57:19] ようむし: そうやで
[0:57:19] momoka728: おいしいね
[0:57:25] でどすた: 塩派
[0:57:25] momizi315: せやで
[0:57:26] Naschyz: ミラーみたいな感じ
[0:57:30] ようむし: 優しい世界
[0:57:31] asaoka2016: 干すティンコ
[0:57:31] totasu9: 見てくるか
[0:57:32] まっちゃくんん: ミラー？いいのかこれ
[0:57:33] yjusn114514: 顎ぱっかーんのやつ
[0:57:34] あるたー: ホストは他配信者のリスナーを共有できるみたいなやつ
[0:57:40] paya_ika: なるほど〜〜
[0:57:40] mugnum0109new: これで変な名前の人出たら笑う
[0:57:44] orange3kp: なるほど
[0:57:46] akikangg: んなわけ
[0:57:51] dante56565: 離席するときとかに 他の人の放送写したりするんやぞ
[0:57:51] ilovecarpcarp: へー
[0:57:52] momoka728: おい
[0:57:52] nikkorikun: ひっど
[0:57:52] 0_Shiina: 草
[0:57:52] 赤次郎: え？
[0:57:55] こっぽそ: ミラーだめってTwitterで言ってたやん
[0:57:56] yotuba0428: おい
[0:57:57] yozakusa: さいてい
[0:58:03] obanatti: Hってなんの略？
[0:58:07] yozakusa: 草
[0:58:07] mugnum0109new: 草
