[0:00:04] ピックちゅ: hi
[2:18:05] あずまっくす: いいよ
[2:18:07] でどすた: マックのポテトは無意識で食ってるわ
[2:18:11] エビル: ジャンクフードめったに食べないなぁ
[2:18:20] kousei0315: 損してるよ
[2:18:46] milololon: 草
[2:18:48] あずまっくす: あ
[2:18:50] kousei0315: あ
[2:18:51] yosumin874: 草
[2:18:53] でどすた: きこえた
[2:18:54] hotaru_0309: 草
[2:18:57] muru1113: 草
[2:19:03] kousei0315: 草
[2:19:04] でどすた: 草
[2:19:06] あずまっくす: 草
[2:19:08] tiroru0125: タンケッキ―は何頼む？
[2:19:14] tiroru0125: 草
[2:19:19] kousei0315: 骨あったほうがいい
[2:19:30] kousei0315: 軟骨が旨いんだよ！
[2:19:33] yosumin874: 暴言の嵐
[2:19:45] あずまっくす: ケンタッキーは食べない
[2:19:46] hotaru_0309: 骨ありでしょ
[2:19:46] でどすた: 骨つきの方が味はいい気がする
[2:20:08] でどすた: でも食べにくいから骨なしで妥協する
[2:20:10] tiroru0125: 俺は英検2級
[2:20:19] aswg8: 今来たんだけどどういう状況？
[2:20:21] あずまっくす: あ、でもホットパイ美味しい
[2:20:23] エビル: ゴハンにこれあれば食えるっての皆ある？
[2:20:24] ohkilacky25257: PUBGになったらTwitchに来るのが定番になった
[2:20:33] ohkilacky25257: デッカチャン
[2:20:38] milololon: なっつ
[2:20:38] あずまっくす: いらっしゃい
[2:20:39] nekotori222: 骨無しちょっとパサパサしてる気がする
[2:20:40] ohkilacky25257: 強い
[2:20:42] でどすた: ええやん
[2:20:49] tiroru0125: 今まかせろりって言ったからセロリ食え
[2:21:00] ohkilacky25257: 殺れ
[2:21:04] ohkilacky25257: 勝てる
[2:21:06] でどすた: ご飯のお供は明太子が好き
[2:21:12] ohkilacky25257: ↑それな
[2:21:17] aswg8: 今来たんだけどどういう状況？
[2:21:20] エビル: 俺は納豆かなやっぱ
[2:21:24] kousei0315: 明太子にマヨネーズ少しいれて食う
[2:21:25] tiroru0125: クリスピーが以外と旨い
[2:21:28] muru1113: 始めたばかりだよ
[2:21:31] ohkilacky25257: クレーター飽きてPUBG始めた
[2:21:33] milololon: クリスピー分かる
[2:21:37] yosumin874: ごはんのおともは納豆かごはんですよだな
[2:21:46] milololon: サクサクして美味しい
[2:21:52] tiroru0125: でしょ
[2:21:53] aswg8: 説明ありです
[2:21:53] muru1113: ごはんですよはいいよね
[2:21:54] hotaru_0309: キムチたまに食べる
[2:21:56] ohkilacky25257: 勝てよ？
[2:21:57] エビル: ないすぅ～
[2:22:02] ohkilacky25257: 危な
[2:22:05] muru1113: あぶな
[2:22:06] yosumin874: あっぶな
[2:22:07] でどすた: 卵かけご飯めっちゃ作ってた時あったわ
[2:22:09] ohkilacky25257: ガバAiM
[2:22:10] あずまっくす: やじゃるん
[2:22:11] hotaru_0309: あぶな
[2:22:11] mugnum0109new: あっぶな
[2:22:16] milololon: あぶなー
[2:22:16] でどすた: 死にそうやん
[2:22:20] ohkilacky25257: ショットガンだった？
[2:22:21] kousei0315: 卵かけご飯ってたまに食べたくなるよな
[2:22:29] あずまっくす: わかる
[2:22:33] エビル: 銀の匙一巻でTKGめっちゃ食いたくなった事はある
[2:22:34] ohkilacky25257: お前には無理
[2:22:44] tiroru0125: 納豆の食べ方分かる？
[2:22:52] nikkorikun: 危ないないナイチンゲール
[2:23:01] kousei0315: ？
[2:23:04] raderfan: こん
[2:23:06] あずまっくす: ？
[2:23:06] ohkilacky25257: ドア閉めろ
[2:23:07] mugnum0109new: こん
[2:23:07] kousei0315: こん
[2:23:08] milololon: こん
[2:23:09] yosumin874: こん
[2:23:17] hotaru_0309: バカみたいに100回回して食べてる
[2:23:17] あずまっくす: こん
[2:23:19] エビル: 何もいれずに５０ からしで５０ たれやくみで５０ってどっかで聞いたけど 適当だよな
[2:23:21] hotaru_0309: こん
[2:23:27] raderfan: クレーターおわってこれしてるんか
[2:23:32] tiroru0125: みんなモスバーガ―食べますか？
[2:23:32] nikkorikun: 大根
[2:23:33] 55ship: Twitchでもやってた
[2:23:39] ohkilacky25257: 卵やろ
[2:23:47] でどすた: モスは食べないなぁ
[2:23:48] ohkilacky25257: ナイスゥ
[2:23:48] エビル: やるやん
[2:23:51] muru1113: やじゃるん
[2:23:51] kousei0315: この前チゲ鍋食ったんだけど旨すぎワロタ
[2:23:52] あずまっくす: やじゃるん
[2:23:53] mugnum0109new: やじゃるん
[2:23:53] hotaru_0309: やじゃるん
[2:23:55] でどすた: てか危な
[2:23:56] yosumin874: やじゃるん
[2:23:57] ohkilacky25257: 相手の方がガバAiMだった…
[2:23:59] nikkorikun: 危ないないナイチンゲール
[2:24:07] kousei0315: ？
[2:24:08] ohkilacky25257: 動いてたのは良かったぞ
[2:24:11] あずまっくす: モスはとろけるチーズのやつ
[2:24:12] tiroru0125: ＼(・o・)／
[2:24:13] milololon: やじゃるん
[2:24:23] ohkilacky25257: クリアリングしとけよ
[2:24:31] ohkilacky25257: ショットガン一択
[2:25:10] hotaru_0309: バーガーキングって皆いく？
[2:25:12] ohkilacky25257: 明日超会議行く？
[2:25:15] kousei0315: 最近冷やし中華食ったんだけどアメミヤの歌出てきたわ
[2:25:19] nikkorikun: ゲームよりおでん
[2:25:26] yosumin874: バーガーキング初めて聞いた
[2:25:27] tiroru0125: 最近モス行ったら1000円不足って書いてあって正直驚いたんだけど
[2:25:27] milololon: アメミヤなっつ
[2:25:33] でどすた: バーガーキングって見たことすら無い
[2:25:34] ohkilacky25257: 喰らってなくね？
[2:25:36] あずまっくす: おでんはたまごやから
[2:25:50] でどすた: おでんははんぺんやな
[2:25:53] kousei0315: おでんって染みてないとクソ不味いよな
[2:25:58] ohkilacky25257: 墓場にするなよ
[2:25:59] あずまっくす: バーガーキングってなに？
[2:26:05] エビル: おでんはロールキャベツ
[2:26:09] tiroru0125: おでんはやっぱり牛すじでしょ
[2:26:17] 55ship: たまごがいちばん
[2:26:21] yosumin874: やっぱりちくわだな
[2:26:27] kousei0315: ロールキャベツうまいよな
[2:26:29] milololon: 大根を忘れるな
[2:26:31] エビル: うまいよね
[2:26:31] hotaru_0309: ハンバーガーの店です
[2:26:37] ohkilacky25257: 芋り多いな
[2:26:43] あずまっくす: 聞いたことないな
[2:26:46] ohkilacky25257: 勝てばよかろうなのだ
[2:26:48] でどすた: ロールキャベツって入ってるの？
[2:26:50] エビル: ちくわぶって好き嫌いあるけど おれは好き
[2:26:52] kousei0315: 大根は王道過ぎて何も言わずとも上位だから
[2:26:59] milololon: なるほど
[2:27:02] ohkilacky25257: 一旦退けば？
[2:27:20] あずまっくす: たまにおでんに餃子巻きみたいなのあるんやけどどう？
[2:27:21] ohkilacky25257: クリアリングしろって
[2:27:40] tiroru0125: 玉玉
[2:27:54] kousei0315: アリーナ8852か
[2:27:56] エビル: 餃子まきは食ったことない
[2:27:57] ohkilacky25257: ポチンキに入った時点で覚悟してたことだろ
[2:28:22] tiroru0125: 何まんが好き？
[2:28:24] エビル: 焼き餃子ゆず胡椒で食べる人おる？めっちゃうまいよ
[2:28:25] kousei0315: 炭酸飲めない人っている？
[2:28:25] hotaru_0309: おでんには絶対こんにゃく入れる
[2:28:27] ohkilacky25257: ショットガンにしとけ
[2:28:39] ohkilacky25257: スナイパーはお前には向いてない
[2:28:44] kousei0315: 炭酸飲めない人はかなり損してるよな
[2:28:47] milololon: 取っといた方がいいよ
[2:28:49] nikkorikun: みんなマリカー買った？
[2:28:51] 55ship: 今更だけどPUBGってどんなゲーム？
[2:28:54] ohkilacky25257: 狙える
[2:29:05] でどすた: ピザまんが好き
[2:29:09] エビル: ニンテンドウは買わない
[2:29:09] ohkilacky25257: 今話題のTPSゲームです
[2:29:18] kousei0315: 裸で島に降りて装備武器拾って最後の１人になるゲーム
[2:29:21] mugnum0109new: 100人で殺しあって最後まで生き残るゲーム
[2:29:25] hotaru_0309: ピザまんは一時期めっちゃはまってた
[2:29:35] kousei0315: ぴざまんうまいよな
[2:29:38] ohkilacky25257: ↑それな
[2:29:47] happy3243: わこらだ
[2:29:52] tiroru0125: 肉が嫌いな人は、人生の三分の一は損してると思う
[2:29:53] あずまっくす: こん
[2:29:57] hotaru_0309: こん
[2:29:57] kousei0315: こん
[2:29:59] takoyaki_0911: こん
[2:30:00] milololon: こん
[2:30:00] yosumin874: 炭酸飲めるけど苦手こん
[2:30:02] でどすた: こん
[2:30:02] mugnum0109new: こん
[2:30:04] ohkilacky25257: 肉嫌いな奴おるん？
[2:30:06] ohkilacky25257: こん
[2:30:19] happy3243: 肉嫌いな奴です
[2:30:22] ohkilacky25257: 負けるなよ
[2:30:24] エビル: 年取ると肉食べなくなるのなんでだろぉ～
[2:30:30] ohkilacky25257: クリアリングされたら弱いぞそこ
[2:30:33] mugnum0109new: 肉も野菜も好きやで
[2:30:41] happy3243: マインクラフトストーリーモード配信中ってなっとるで
[2:30:47] kousei0315: ベジタリアンは肉食べないで生きてるから尊敬する
[2:30:49] エビル: ばあちゃんとか肉食ったところ見たことない
[2:30:55] ohkilacky25257: 焼肉がめんどくさい今日此頃
[2:30:56] tiroru0125: 今日のトムマルの放送見た奴いる？
[2:31:14] ohkilacky25257: 足音たてるな
[2:31:29] あずまっくす: へ
[2:31:38] エビル: アディオスの人？
[2:31:47] でどすた: みてない
[2:31:53] kousei0315: 見てない
[2:31:56] ohkilacky25257: 出よう
[2:31:58] エビル: 見てない
[2:31:59] ohkilacky25257: 音痴
[2:32:05] takoyaki_0911: 音程おかしくね
[2:32:08] あずまっくす: 音痴杉内
[2:32:15] tiroru0125: PUBGの放送になった途端見てる人が減った
[2:32:19] milololon: ミュート
[2:32:21] yosumin874: 0点
[2:32:27] nikkorikun: 忍たま乱太郎くんちゃんさん、？
[2:32:33] ohkilacky25257: ちょっと忘れるな
[2:32:35] mugnum0109new: マイクラ好きな人多いんやね
[2:32:36] kousei0315: 最近のYouTube、はじめしゃちょーとか炎上先輩を庇う信者多過ぎて嫌い
[2:32:38] takoyaki_0911: らっだぁTwitchのコメ見とるん？
[2:32:43] kousei0315: たまに
[2:32:48] あずまっくす: たまに
[2:32:50] ohkilacky25257: 出ろ
[2:32:57] mugnum0109new: 出ればいいやん
[2:33:00] ohkilacky25257: (''∇^d) ﾅｲｽ☆!!判断
[2:33:18] でどすた: (リスナーの)雑談放送
[2:33:18] tiroru0125: ぶっちゃけはじめんどう思う？
[2:33:20] kousei0315: ハローワークに行くらたお氏
[2:33:26] kousei0315: 嫌い
[2:33:29] milololon: 素通り
[2:33:30] ohkilacky25257: 気付かれただろw
[2:33:32] takoyaki_0911: 嫌いだな
[2:33:32] muru1113: どうでもいい
[2:33:36] mugnum0109new: はじめはおわりしゃちょー
[2:33:42] でどすた: 関心ナシ
[2:33:51] kousei0315: それ以上に信者嫌い
[2:33:54] milololon: 名前だけ知ってる程度
[2:33:59] mugnum0109new: てかもうはじめとか空気やろ
[2:34:04] tiroru0125: めっちゃ登録者減ったよな
[2:34:06] ohkilacky25257: 中で？
[2:34:21] ohkilacky25257: あの家
[2:34:29] kousei0315: あの謝罪動画スーツの着こなしクソだった
[2:34:39] takoyaki_0911: 結局なにがあってはじめしゃちょーはこんなんになったの？
[2:34:45] ohkilacky25257: 謝罪動画でいくら稼いだんやろなぁ
[2:34:47] muru1113: 三股
[2:34:49] mugnum0109new: 4股。終わり。
[2:34:54] tiroru0125: じゃあHIKAKINさんは、？
[2:34:56] muru1113: 4なの？
[2:34:56] ohkilacky25257: 三股じゃないの？
[2:34:59] kousei0315: 3股、ゴルフクラブ折り
[2:35:01] でどすた: 爆撃「させるか」
[2:35:03] mugnum0109new: 4じゃない？
[2:35:03] ohkilacky25257: 草
[2:35:06] あずまっくす: 3やない？
[2:35:09] ohkilacky25257: 4なんだ
[2:35:13] ohkilacky25257: 3？
[2:35:14] milololon: どっちだw
[2:35:18] ohkilacky25257: どっち？w
[2:35:21] kousei0315: はじめしゃちょー=性欲の魔人
[2:35:24] でどすた: 3じゃないの？
[2:35:29] nagi_uni01: 一位になるの見たいなぁ
[2:35:34] ohkilacky25257: ツベ勢の方居たら教えて下さい
[2:35:38] takoyaki_0911: 結局3股か4股？
[2:35:46] kousei0315: 3股だった希ガス
[2:35:47] hotaru_0309: 昨日２位だったらしいね
[2:35:48] mugnum0109new: でも4人目は本当かどうかはわからんがほぼ間違いなく4股と見てる。3以上は確定
[2:35:50] ohkilacky25257: まぁ、そうだね
[2:35:55] milololon: どっちにしろ最低野郎
[2:36:05] tiroru0125: この放送はじめんが見てたりして
[2:36:05] kousei0315: くず野郎は確定
[2:36:10] あずまっくす: ツベ見てるけどしゃちょーの動画見ない
[2:36:11] takoyaki_0911: 結局クソ野郎だった、と
[2:36:23] ohkilacky25257: YouTuberという名の一般人がニュースに出る時代とは
[2:36:38] muru1113: こういうことした時だけやからな
[2:36:39] kousei0315: 最近の動画見渡せばchildrenばっかり
[2:36:51] mugnum0109new: でも報道人はあまり興味持ってなかったようにも見えた
[2:36:52] ohkilacky25257: #ナゲッツ親子は笑ったw
[2:36:52] あずまっくす: まあ、日本1位やからな
[2:36:59] muru1113: その時寝落ちした
[2:37:14] tiroru0125: 結局3股って誰なの？
[2:37:28] ohkilacky25257: ヒカクソよりはマシだと感じてたけど結局皆アレなんだな…(偏見)
[2:37:36] mugnum0109new: 昨日シたゆうかと、あと2人は不明
[2:37:38] kousei0315: 前彼女、今彼女、あとは知らん
[2:37:40] ohkilacky25257: YouTuberの方ごめんなさい
[2:37:54] ohkilacky25257: 木下さんじゃないの？
[2:38:01] でどすた: ゲーム実況しか見ないからなぁ…
[2:38:10] あずまっくす: おれもー
[2:38:16] tiroru0125: なんで木下ゆうかってわかったの？
[2:38:22] ohkilacky25257: リスナーと付き合ってたの！？
[2:38:25] muru1113: 本人発言？
[2:38:26] mugnum0109new: 本人が謝罪してたから
[2:38:33] ohkilacky25257: 自分で言ったんでしょ
[2:38:34] でどすた: ファンに手出すかね
[2:38:35] milololon: はい
[2:38:37] muru1113: はい
[2:38:40] ohkilacky25257: おぉーーーぃ！
[2:38:41] takoyaki_0911: はい
[2:38:41] nagi_uni01: あーあw
[2:38:41] kousei0315: まぁニベアで炎上した理由もわからない奴だから何しでかすか分からないよな
[2:38:41] あずまっくす: 自分から発言したからやなかったっけ？
[2:38:42] mugnum0109new: はい
[2:38:42] 55ship: キーボード叩いてんのかと思った
[2:38:43] yosumin874: はい
[2:38:43] あずまっくす: はい
[2:38:44] tiroru0125: はい
[2:38:45] でどすた: はい
[2:38:45] ohkilacky25257: gm
[2:38:51] ohkilacky25257: すーぐこんな日
[2:38:58] kousei0315: まぁ、こんな日もあるのさ！次はもう少しツイてますように！
[2:39:05] tiroru0125: 何て火だ
[2:39:10] ohkilacky25257: リスナーとやれって
[2:39:11] あずまっくす: いいね
[2:39:14] kousei0315: 炎上
[2:39:15] takoyaki_0911: いいよ
[2:39:16] milololon: 大丈夫か？
[2:39:17] nagi_uni01: いいね
[2:39:19] ohkilacky25257: CurseLit CurseLit CurseLit CurseLit CurseLit CurseLit CurseLit CurseLit CurseLit CurseLit CurseLit CurseLit CurseLit CurseLit CurseLit CurseLit CurseLit CurseLit CurseLit
[2:39:22] でどすた: やってみよ
[2:39:23] muru1113: 大丈夫なん？
[2:39:25] takoyaki_0911: 気まずい雰囲気になって終わるぞ
[2:39:31] ohkilacky25257: やめとけって
[2:39:33] mugnum0109new: DIOって何？
[2:39:37] nagi_uni01: たのしみ
[2:39:45] kousei0315: デュオ…ペアみたいな
[2:39:46] tiroru0125: またしねとか言われるんじゃないの・
[2:39:46] ohkilacky25257: 知らない人とチーム組むやつ
[2:39:53] mugnum0109new: なるほど
[2:39:56] でどすた: 吸血鬼だよ
[2:39:59] あずまっくす: Dioはジョジョだよ
[2:40:00] ohkilacky25257: 偶然リスナーある？w
[2:40:06] mugnum0109new: ボイチャあるんかな？
[2:40:09] kousei0315: デイオさん！？
[2:40:09] ohkilacky25257: こんにちはだろまず
[2:40:11] muru1113: さぁ？
[2:40:23] ohkilacky25257: まずこんにちは
[2:40:25] mugnum0109new: てかこれ外国人とか来るんかな？
[2:40:28] yosumin874: 草
[2:40:33] takoyaki_0911: 草
[2:40:34] kousei0315: ハローから言え
[2:40:35] ohkilacky25257: 日本人の可能性
[2:40:35] milololon: あ
[2:40:38] ohkilacky25257: なかったw
[2:40:38] あずまっくす: 草
[2:40:45] tiroru0125: けど結局はじめんYouTubeっもどるんでしょ
[2:40:48] muru1113: 草
[2:40:52] mugnum0109new: 草
[2:40:58] ohkilacky25257: 日本人ですって言えない？
[2:41:01] milololon: とりあえず日本人って言え
[2:41:02] yosumin874: めっちゃ英語で草
[2:41:05] takoyaki_0911: なんだこれw
[2:41:11] kousei0315: アイアムジャパニーズ言え
[2:41:12] nagi_uni01: radao 草
[2:41:14] でどすた: ほんとハロー以外言えないの？
[2:41:17] tiroru0125: ちゃんと話せ
[2:41:22] muru1113: マジで草
[2:41:22] milololon: アメリカだって
[2:41:23] エビル: YOUNOW
[2:41:27] kousei0315: アイキャントスピークイングリッシュ言え
[2:41:28] arto114514: 今北、崩壊クラフトじゃなかったん？
[2:41:28] nagi_uni01: www
[2:41:32] muru1113: 草
[2:41:37] mugnum0109new: 草
[2:41:39] muru1113: 相手可愛そう
[2:41:40] あずまっくす: i knowは草
[2:41:44] takoyaki_0911: マジメになんだこれw
[2:41:44] milololon: 何か聞くの嫌になってきた…
[2:41:52] kousei0315: 相手優しすぎる
[2:41:55] takoyaki_0911: 相手優しい
[2:41:57] でどすた: 親切だ
[2:42:01] muru1113: おｋしか言ってない
[2:42:05] milololon: 優しいな
[2:42:07] ohkilacky25257: Where do you live? って聞いて
[2:42:19] ohkilacky25257: なかなかいい感じで草
[2:42:21] Naschyz: group up
[2:42:35] ohkilacky25257: 早すぎて無理
[2:42:36] kousei0315: 相手がっかりしてて草
[2:42:47] takoyaki_0911: I can't understandって言えば？
[2:42:49] mugnum0109new: I'm Japanese. So I don't know English well.って言っとけ
[2:42:49] muru1113: 生放送してるって言えば？
[2:42:51] ohkilacky25257: 仲間1人？
[2:43:09] muru1113: 草
[2:43:09] ohkilacky25257: なんか喋っとけ
[2:43:11] milololon: 分かってねーだろ
[2:43:15] takoyaki_0911: OKしか言えんのか
[2:43:20] kousei0315: らだお性格gmすぎるw
[2:43:28] あずまっくす: I can't speak English って言っとけ
[2:43:30] yanshi0913: らっだぁはぼっち、4ねって言ってるよ笑
[2:43:31] mugnum0109new: 高校入試のリスニングが可愛く見えるレベル
[2:43:35] tiroru0125: I dont sapek Endlishって行って
[2:43:41] ohkilacky25257: それは分かってると思うぞw
[2:43:41] nagi_uni01: 海外にでても把握マシーン
[2:43:48] でどすた: なんでお前この企画考えたの？
[2:44:05] muru1113: 草
[2:44:13] ohkilacky25257: エナドリ欲しいって
[2:44:14] 55ship: I can't speak English well って言え
[2:44:17] kousei0315: アイハブアペン行っとけ
[2:44:20] mokeke71: アイハブアペンっていえよ
[2:44:27] yosumin874: これぞ日本語英語
[2:44:34] mugnum0109new: I have a penは草
[2:44:37] hotaru_0309: 相手優しい
[2:44:39] milololon: リードしてくれてるな
[2:44:41] muru1113: I have a penは草
[2:44:48] mugnum0109new: ついてこいって
[2:44:51] tiroru0125: おい
[2:44:54] ohkilacky25257: Do you know ピコ太郎？ って
[2:45:00] tiroru0125: ケンカ売るな
[2:45:07] ohkilacky25257: ARがない〜
[2:45:20] mokeke71: どういう企画なの？
[2:45:23] ohkilacky25257: 恩を仇で返すことのないようにな
[2:45:30] ohkilacky25257: 取り敢えずついてけ
[2:45:42] エビル: 実力で圧倒とは
[2:45:43] kousei0315: 英語喋れないって言っとけ
[2:45:45] muru1113: 無理無理
[2:45:46] ohkilacky25257: ジェスチャーが出来ないのは結構辛いぞ
[2:45:50] mugnum0109new: 出来るのか？
[2:45:53] takoyaki_0911: 圧倒するほどの実力ねぇだろ
[2:46:03] あずまっくす: らっだぁってマルチの実力ないよね
[2:46:12] ohkilacky25257: 意思疎通を図るきがある様に接しろ じゃないと喋らなくなるぞ
[2:46:13] tiroru0125: この人PUBGのガチ勢だったりして
[2:46:18] mokeke71: whis b
[2:46:34] ohkilacky25257: SCAR
[2:46:38] milololon: ガチ勢なら尚更かわいそう
[2:46:38] ohkilacky25257: くれるって
[2:46:41] gyozafighter: ただいまー
[2:46:44] kousei0315: 優しすぎワロタ
[2:46:45] でどすた: akもってた
[2:46:48] muru1113: I don't speak English 言っとけ
[2:46:55] ohkilacky25257: それもくれるか
[2:46:56] yosumin874: めっちゃ優しい
[2:46:59] ohkilacky25257: yesでいい
[2:47:00] kousei0315: Can'tだお
[2:47:02] mokeke71: お前も喋れよ
[2:47:03] takoyaki_0911: 国境を越えるらっだぁ
[2:47:13] mugnum0109new: このゲーム楽しいって言った
[2:47:17] ohkilacky25257: 違うって
[2:47:18] aswg8: 今また戻ってきたんだけどどういう経緯でこうなったの？
[2:47:19] mugnum0109new: 疑問形な
[2:47:20] あずまっくす: 優しいなぁ
[2:47:24] muru1113: 草
[2:47:28] milololon: 草
[2:47:34] mugnum0109new: 草
[2:47:37] nagi_uni01: www
[2:47:38] yosumin874: 生主をだますリスナー草
[2:47:40] でどすた: めちゃくちゃなこというな
[2:47:41] mokeke71: 草
[2:47:41] 55ship: ｱｱﾝ?
[2:47:42] あずまっくす: 草
[2:47:43] ohkilacky25257: お前黙れw
[2:47:43] kametwth: 当然のリアクションに草
[2:47:46] muru1113: やばいめっちゃ笑う
[2:47:51] yanshi0913: ノーラグは草
[2:47:56] takoyaki_0911: この企画面白い
[2:47:57] mokeke71: これを機に勉強しろ
[2:48:03] muru1113: 見つけたって
[2:48:03] ohkilacky25257: これ勝てる気しかしないんだがw
[2:48:08] mugnum0109new: 女の子見つけたらしい
[2:48:14] milololon: 勝てたら凄い
[2:48:14] ohkilacky25257: ラグって英語じゃないんじゃん？
[2:48:29] エビル: エネミーでいいんじゃない
[2:48:32] kousei0315: enemyエネミー
[2:48:33] でどすた: 方角言えば？
[2:48:34] mugnum0109new: あかん完全に間違えてる
[2:48:35] ish12213: エネミーじゃね？
[2:48:36] tiroru0125: e1
[2:48:36] nagi_uni01: これでどんかつできたら笑うわ
[2:48:42] hotaru_0309: ラギングじゃない？
[2:48:44] mugnum0109new: そう
[2:48:49] でどすた: エナドリ渡せ
[2:48:58] ohkilacky25257: find enemyでいいよ
[2:48:59] muru1113: 渡せ
[2:49:02] 55ship: 欲しいのか
[2:49:04] ohkilacky25257: 敵いたら
[2:49:08] mugnum0109new: 渡せよ
[2:49:09] あずまっくす: 必要って言ってる
[2:49:09] hotaru_0309: わたして
[2:49:09] kousei0315: 「south！enemy！」みたいな感じかな
[2:49:11] gyozafighter: 差し上げろ
[2:49:13] muru1113: おｋいけ
[2:49:16] aswg8: 個数だろ
[2:49:21] でどすた: なんで一回なんだよ
[2:49:30] hotaru_0309: onceとか
[2:49:31] ohkilacky25257: 敵いたらfind enemy ＋方角言え
[2:49:32] milololon: onceじゃない
[2:49:32] takoyaki_0911: onceって１回ってことだよ？
[2:49:45] yosumin874: まあ伝わればええんや...
[2:49:47] muru1113: onceはないわ
[2:49:47] mugnum0109new: onceで草
[2:49:54] ohkilacky25257: これTwitchじゃなくてニコニコで翻訳した方がいいのかな？
[2:49:57] yanshi0913: らっだぁが英語言うんじゃなくて向こうが日本語いえばいいんだよ。
[2:49:59] kousei0315: お前とは大違い
[2:50:00] tiroru0125: マジでおもろう
[2:50:07] milololon: ニコニコの方が拾うね
[2:50:09] ぐれんぷ: リスナーに翻訳を頼む生主の鏡
[2:50:12] milololon: コメント
[2:50:18] ohkilacky25257: 日本人の相手に合わせようとするのはいい所
[2:50:20] milololon: おい
[2:50:23] muru1113: おい
[2:50:23] gyozafighter: オワタ
[2:50:28] muru1113: あ
[2:50:30] takoyaki_0911: おい
[2:50:32] 55ship: ***
[2:50:32] あずまっくす: はい
[2:50:33] ohkilacky25257: fuckw
[2:50:34] kousei0315: 謝れよ
[2:50:35] milololon: あーあ
[2:50:36] yanshi0913: おぉーん
[2:50:38] mugnum0109new: fuckwwwwww
[2:50:41] mizu_marioshi: おまっ
[2:50:47] エビル: 「外人」 ありがとう・・・
[2:50:48] muru1113: 英語でいえ
[2:50:50] mugnum0109new: もっかいやろ
[2:50:53] ohkilacky25257: Sorryくらい言っとけよ
[2:50:56] でどすた: らだお「ありがとう…」
[2:50:58] takoyaki_0911: 英語でお礼言えや
[2:51:03] milololon: かわいそう
[2:51:07] ohkilacky25257: はいお前のせいで日本人の信用度落ちた
[2:51:09] takoyaki_0911: もっかいやれ
[2:51:14] kousei0315: 英語少しは勉強しろよ
[2:51:17] yosumin874: 何も言わずに切るとか
[2:51:21] エビル: せめておっつぅくらい言え
[2:51:21] nagi_uni01: もうやめよう
[2:51:22] mizu_marioshi: あの人の中で日本人の評価は下がった
[2:51:26] milololon: 勉強してからやった方がいいね
[2:51:37] muru1113: さいてー
[2:51:41] ohkilacky25257: いい人過ぎたな
[2:51:41] 55ship: 英語勉強しろ
[2:51:52] yanshi0913: 社会人は英語を喋らないと
[2:51:53] でどすた: 中学生の方がまだ達者
[2:51:55] kametwth: さんきゅーの一言も言えないのか
[2:51:57] hotaru_0309: これ、スゴい楽しそう
[2:52:01] ohkilacky25257: このゲーム内で使いそうな単語だけでも覚えとけ
[2:52:02] エビル: スピードラーニングやってみたいけど効果あるのかな
[2:52:09] tiroru0125: あの後、怒りでキーボードぶっ壊したは
[2:52:12] milololon: しろ
[2:52:15] ohkilacky25257: しろ
[2:52:17] muru1113: しろ
[2:52:18] yosumin874: しろ
[2:52:19] takoyaki_0911: 英語勉強しなさい
[2:52:20] mizu_marioshi: お前しないだろ
[2:52:20] でどすた: しろ
[2:52:24] ぐれんぷ: どうせしないんだろ
[2:52:25] gyozafighter: リスナーと今日はやんないの？
[2:52:26] nagi_uni01: やめとけ
[2:52:26] mugnum0109new: せめて中学レベルまでは
[2:52:27] kousei0315: していい？じゃなくて「ひろ」
[2:52:29] 55ship: 習う発音とリアルの発音が違うから全然分からないかもしれない
[2:52:29] mizu_marioshi: やめて
[2:52:29] ohkilacky25257: リスナーあてよう
[2:52:31] tiroru0125: していいじゃない しなさい
[2:52:35] kousei0315: しろ
[2:52:37] mugnum0109new: アラブ人と当たってほしい
[2:52:41] mizu_marioshi: 日本人の評価が下がる
[2:52:42] nagi_uni01: 相手がかわいそう
[2:52:44] ohkilacky25257: あるでしょ
[2:52:50] mugnum0109new: あるっしょ
[2:52:51] ohkilacky25257: おっけぃ
[2:53:02] milololon: 洋楽、洋画とか勉強なるよ
[2:53:05] でどすた: まず英語圏かどうかだよ
[2:53:05] ohkilacky25257: 頑張ろ
[2:53:18] ohkilacky25257: 英語圏外だったらオワタ
[2:53:18] mizu_marioshi: グッドラック
[2:53:21] あずまっくす: good-byeやろ
[2:53:25] yosumin874: はいBAN
[2:53:25] tiroru0125: うん
[2:53:29] エビル: OMG
[2:53:29] mokeke71: センキューフォーマッチプレイ
[2:53:32] mizu_marioshi: アラブとかやったらどうすんの？w
[2:53:41] Naschyz: my broつけとけばおｋ
[2:53:43] ohkilacky25257: Sorry Thank you Good-bye
[2:53:45] tiroru0125: ファックって何？
[2:53:54] あずまっくす: とりあえず国籍聞こうぜ
[2:53:56] mokeke71: それはやめろw
[2:53:57] エビル: ぽったぁ？
[2:54:00] ohkilacky25257: それが一番相手にとって嫌
[2:54:08] ohkilacky25257: ポッターさん！？
[2:54:09] でどすた: ポッター？
[2:54:11] yanshi0913: ポッター！？
[2:54:21] ohkilacky25257: だめ
[2:54:26] エビル: わっつ？って言われるよｗｗ
[2:54:27] ohkilacky25257: いいわけねぇだろ
[2:54:31] milololon: ハリーだと何処の国か分からんな
